"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"794053835006341120","","","2016-11-03 05:49:21 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","I've just dropped the hottest Prawn Cocktail crisps of 2016 (Caution: Contents may not be hot) https://t.co/qmXmUp2Jy4","","","","http://ift.tt/2fd43ZA"
"793990436335550464","","","2016-11-03 01:37:26 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who likes Salt &amp; Vinegar crisps? 'Cos I've just dispensed a packet of them in my drawer https://t.co/qmXmUp2Jy4","","","","http://ift.tt/2fd43ZA"
"793966759116206080","","","2016-11-03 00:03:21 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","I've just dropped the hottest Salt &amp; Vinegar crisps of 2016 (Caution: Contents may not be hot) https://t.co/7eXrz2mbpw","","","","http://ift.tt/2fdNhaj"
"793966754913546240","","","2016-11-03 00:03:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who has no thumbs and just dispensed a packet of Ready Salted crisps? This machine https://t.co/7eXrz2mbpw","","","","http://ift.tt/2fdNhaj"
"793966757065191424","","","2016-11-03 00:03:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Oh hai! You'll never guess what - I've just dispensed a packet of Salt &amp; Vinegar crisps https://t.co/7eXrz2mbpw","","","","http://ift.tt/2fdNhaj"
"793898552699281408","","","2016-11-02 19:32:19 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","I've just dropped the hottest Prawn Cocktail crisps of 2016 (Caution: Contents may not be hot) https://t.co/FuHehINRMu","","","","http://ift.tt/2faYMzk"
"793883204004577281","","","2016-11-02 18:31:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","I've just dropped the hottest Cheese &amp; Onion crisps of 2016 (Caution: Contents may not be hot) https://t.co/CyEsYRAVr0","","","","http://ift.tt/2fbVq1i"
"793879937312841729","","","2016-11-02 18:18:21 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who has no thumbs and just dispensed a packet of Prawn Cocktail crisps? This machine https://t.co/aZJk3LoRsi","","","","http://ift.tt/2fEp0x6"
"793861558170451972","","","2016-11-02 17:05:19 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","I've just dropped the hottest Ready Salted crisps of 2016 (Caution: Contents may not be hot) https://t.co/aZJk3LoRsi","","","","http://ift.tt/2fEp0x6"
"793855525234544641","","","2016-11-02 16:41:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who likes Salt &amp; Vinegar crisps? 'Cos I've just dispensed a packet of them in my drawer https://t.co/8kuAHK3rE7","","","","http://ift.tt/2e24VAy"
"793835391036039168","","","2016-11-02 15:21:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Oh hai! You'll never guess what - I've just dispensed a packet of Cheese &amp; Onion crisps https://t.co/aZJk3LoRsi","","","","http://ift.tt/2fEp0x6"
"793832114047311873","","","2016-11-02 15:08:19 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who has no thumbs and just dispensed a packet of Ready Salted crisps? This machine https://t.co/aZJk3LoRsi","","","","http://ift.tt/2fEp0x6"
"793830604496375808","","","2016-11-02 15:02:19 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who has no thumbs and just dispensed a packet of Ready Salted crisps? This machine https://t.co/8kuAHK3rE7","","","","http://ift.tt/2e24VAy"
"793829628955791364","","","2016-11-02 14:58:26 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who has no thumbs and just dispensed a packet of Ready Salted crisps? This machine https://t.co/wT2jfIJJmi","","","","http://ift.tt/2fb2vzi"
"793826831468232704","","","2016-11-02 14:47:19 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who likes Cheese &amp; Onion crisps? 'Cos I've just dispensed a packet of them in my drawer https://t.co/aZJk3LoRsi","","","","http://ift.tt/2fEp0x6"
"793823564927537152","","","2016-11-02 14:34:21 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Check me out - I've just gone and dropped the finest packet of Prawn Cocktail crisps you'll ever taste https://t.co/aZJk3LoRsi","","","","http://ift.tt/2fEp0x6"
"793820812386131968","","","2016-11-02 14:23:24 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who likes Prawn Cocktail crisps? 'Cos I've just dispensed a packet of them in my drawer https://t.co/wT2jfIJJmi","","","","http://ift.tt/2fb2vzi"
"793817030239674368","","","2016-11-02 14:08:23 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who has no thumbs and just dispensed a packet of Ready Salted crisps? This machine https://t.co/9PkNPG1A8j","","","","http://ift.tt/2ezwDAE"
"793769208739983363","","","2016-11-02 10:58:21 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Check me out - I've just gone and dropped the finest packet of Salt &amp; Vinegar crisps you'll ever taste https://t.co/rqzLPopqtJ","","","","http://ift.tt/2emW1fy"
"793761159077851137","","","2016-11-02 10:26:22 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Check me out - I've just gone and dropped the finest packet of Prawn Cocktail crisps you'll ever taste https://t.co/cQhliHzMMn","","","","http://ift.tt/2emlgyB"
"793761149800083456","","","2016-11-02 10:26:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Oh hai! You'll never guess what - I've just dispensed a packet of Prawn Cocktail crisps https://t.co/X6ixqoE9F4","","","","http://ift.tt/2e13tOU"
"793624753894526977","","","2016-11-02 01:24:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who likes Prawn Cocktail crisps? 'Cos I've just dispensed a packet of them in my drawer https://t.co/XRbzXwp5q2","","","","http://ift.tt/2eSINYz"
"793583736000503812","","","2016-11-01 22:41:21 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Check me out - I've just gone and dropped the finest packet of Ready Salted crisps you'll ever taste https://t.co/KJD7mSENUx","","","","http://ift.tt/2fbgsuW"
"793577433844817920","","","2016-11-01 22:16:18 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Who likes Prawn Cocktail crisps? 'Cos I've just dispensed a packet of them in my drawer https://t.co/EUZUMpI7YY","","","","http://ift.tt/2eROLbW"
"793572924536000512","","","2016-11-01 21:58:23 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Oh hai! You'll never guess what - I've just dispensed a packet of Ready Salted crisps https://t.co/EUZUMpI7YY","","","","http://ift.tt/2eROLbW"
"793568130668892161","","","2016-11-01 21:39:20 +0000","<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Check me out - I've just gone and dropped the finest packet of Ready Salted crisps you'll ever taste https://t.co/tuNY6pFnZA","","","","http://ift.tt/2f7Z75S"
